"DOTA_Tooltip_ability_mage_blink"	"闪烁"
"DOTA_Tooltip_ability_mage_laguna_blade_Description_lv1"	"经过%spell_time%秒施法前摇后，对目标射出一道炙热的闪电，造成%sp_factor%点魔法伤害。"
"DOTA_Tooltip_ability_mage_laguna_blade_Description_lv2"	"经过%spell_time%秒施法前摇后，对目标射出一道炙热的闪电，造成%sp_factor%点魔法伤害，并在接下来%duration%秒内每秒造成%sp_factor_dot%点魔法伤害"

"DOTA_Tooltip_ability_mage_flame_cloak"	"炽焰外衣"
"DOTA_Tooltip_ability_mage_flame_cloak_Description_lv1"	"将自己包裹在火焰中，提高%bonus_magical_crit_chance%%%的魔法暴击几率，持续%duration%秒。"
"DOTA_Tooltip_ability_mage_flame_cloak_Description_lv2"	"将自己包裹在火焰中，提高%bonus_magical_crit_chance%%%的魔法暴击几率，持续%duration%秒。"
"DOTA_Tooltip_modifier_mage_flame_cloak_buff"	"炽焰外衣"
"DOTA_Tooltip_modifier_mage_flame_cloak_buff_Description"	"魔法暴击几率提高"

"DOTA_Tooltip_ability_mage_dragon_slave"	"凰破斩"
"DOTA_Tooltip_ability_mage_dragon_slave_Description_lv1"	"向目标释放一只吐息的凤凰，对目标和附近%radius%范围内的所有敌人造成%sp_factor%点魔法伤害，并将目标身上的【液态火】扩散到周围的敌人身上。<br>最多拥有%max_charges%层充能，必定造成暴击。"
"DOTA_Tooltip_ability_mage_dragon_slave_Description_lv2"	"向目标释放一只吐息的凤凰，对目标和附近%radius%范围内的所有敌人造成%sp_factor%点魔法伤害，并将目标身上的【液态火】扩散到周围的敌人身上。<br>最多拥有%max_charges%层充能，必定造成暴击。"

"DOTA_Tooltip_ability_mage_fire_spirits"	"烈火精灵"
"DOTA_Tooltip_ability_mage_fire_spirits_Description_lv1"	"引导一只烈火精灵冲向目标，对其造成%sp_factor%点魔法伤害。<br>可以在移动中施法，但攻击和施放其他技能会中断施法。"

"DOTA_Tooltip_ability_mage_fiery_soul"	"炽魂"
"DOTA_Tooltip_ability_mage_fiery_soul_Description_lv1"	"每当你的连续两个技能造成魔法暴击，就会立刻重置光击阵和神灭斩的冷却时间，并使下一次光击阵或神灭斩变为瞬发，施放后不会进入冷却，且累积%combo_multiple%%%的液态火伤害。"
// "DOTA_Tooltip_modifier_mage_fiery_soul"	"炽魂"
// "DOTA_Tooltip_modifier_mage_fiery_soul_Description"	"你的技能已经连续暴击%dMODIFIER_PROPERTY_TOOLTIP%次"
"DOTA_Tooltip_modifier_mage_fiery_soul_combo"	"炽魂"
"DOTA_Tooltip_modifier_mage_fiery_soul_combo_Description"	"下一次光击阵或神灭斩变为瞬发，不进入冷却，且累积%dMODIFIER_PROPERTY_TOOLTIP%%%的液态火伤害"

"DOTA_Tooltip_ability_mage_liquid_fire"	"液态火"
"DOTA_Tooltip_ability_mage_liquid_fire_Description_lv1"	"每当你的技能造成直接伤害，就会对目标施加液态火，在%duration%秒内造成额外伤害，伤害量为技能伤害的%int_factor%%%。再次施加可以刷新液态火，并继承原有液态火的剩余伤害。"
// "DOTA_Tooltip_modifier_mage_hellfire_blast"	"明火暴击：液态火伤害"
// "DOTA_Tooltip_modifier_mage_hellfire_blast_Description"	"所有技能额外造成%fMODIFIER_PROPERTY_TOOLTIP%%%的液态火伤害"
"DOTA_Tooltip_modifier_mage_liquid_fire_debuff"	"液态火"
"DOTA_Tooltip_modifier_mage_liquid_fire_debuff_Description"	"每秒受到%fMODIFIER_PROPERTY_TOOLTIP%点魔法伤害"

"DOTA_Tooltip_ability_mage_deflagration"	"爆燃"
"DOTA_Tooltip_ability_mage_deflagration_Description_lv1"	"被动提高你%bonus_crit%%%的魔法暴击几率。"
"DOTA_Tooltip_ability_mage_deflagration_Description_lv2"	"被动提高你%bonus_crit%%%的魔法暴击几率，并使你的魔法暴击几率总值提高%total_crit%%%。"

"DOTA_Tooltip_ability_mage_supernova"	"超新星"
"DOTA_Tooltip_ability_mage_supernova_Description_lv1"	"炽焰外衣激活期间移动速度无法被降低，且移动速度提高%bonus_movespeed%%%。<br>当你受到致命伤害时，立即将生命恢复至最大生命值的%reborn_health%%%，并在接下来%duration%秒内流失生命，数值相当于最大生命值的%burn_health%%%。<br><br>超新星的冷却时间不受冷却缩减影响。  "

"DOTA_Tooltip_Talent_mage_arsonist"    "纵火者"
"DOTA_Tooltip_Talent_mage_arsonist_Desc"    "灼热之箭和神灭斩对生命值在%crit_hp_pct%%%以上的目标必定造成暴击。"

"DOTA_Tooltip_Talent_mage_eternal_flame"    "永恒火焰"
"DOTA_Tooltip_Talent_mage_eternal_flame_Desc"    "消耗炽魂有%reset_chance%%%几率使你再次获得炽魂。"

"DOTA_Tooltip_Talent_mage_burning_touch"    "烈火之触"
"DOTA_Tooltip_Talent_mage_burning_touch_Desc"    "烈火精灵对生命值在%bonus_dmg_hp_pct%%%以下的敌人必定造成暴击，且造成的伤害提高%lowhp_bonus_dmg_pct%%%。"

"DOTA_Tooltip_Talent_mage_flare"    "灵动闪光"
"DOTA_Tooltip_Talent_mage_flare_Desc"    "闪烁的最大充能层数提高%CustomAbilityCharges%层。"

"DOTA_Tooltip_Talent_mage_mad_speed"    "狂热之速"
"DOTA_Tooltip_Talent_mage_mad_speed_Desc"    "施放烈火精灵会使你的移动速度提高%bonus_movespeed_pct%%%，持续%bonus_movespeed_duration%秒。"

"DOTA_Tooltip_Talent_mage_fire_shield"    "火焰护盾"
"DOTA_Tooltip_Talent_mage_fire_shield_Desc"    "施放闪烁会使你获得火焰护盾，持续%fire_shield_duration%秒。护盾可以为你抵挡%fire_shield_max_hp_factor%点伤害，当你受到近战攻击时还会发射一枚火球，对攻击者造成%fire_shield_sp_factor%点魔法伤害。"

"DOTA_Tooltip_Talent_mage_chaos_meteor"	"混沌陨石"
"DOTA_Tooltip_ability_mage_chaos_meteor"	"混沌陨石"
"DOTA_Tooltip_ability_mage_chaos_meteor_Description_lv1"	"召唤一枚燃烧的流星，%delay%秒后落地，对%radius%码范围内的敌人造成总计%sp_factor%点魔法伤害。流星还会灼烧这片区域，每秒对其中的敌人造成%sp_factor_dot%点魔法伤害，持续%duration%秒。"

"DOTA_Tooltip_Talent_mage_flux"    "乱流"
"DOTA_Tooltip_ability_mage_flux"	"乱流"
"DOTA_Tooltip_ability_mage_flux_Description_lv1"	"被动提高你造成的魔法伤害，至少提高%bonus_dmg_pct_min%%%，这个数值会每秒提高%stack_ps%%%，至多提高%bonus_dmg_pct_max%%%，随后回到%bonus_dmg_pct_min%%%。"
"DOTA_Tooltip_modifier_mage_flux"	"乱流"
"DOTA_Tooltip_modifier_mage_flux_Description"	"造成的魔法伤害提高%dMODIFIER_PROPERTY_TOOLTIP%%%"

"DOTA_Tooltip_Talent_mage_spell_resonance"    "咒术共鸣"
"DOTA_Tooltip_ability_mage_spell_resonance"	"咒术共鸣"
"DOTA_Tooltip_ability_mage_spell_resonance_Description_lv1"	"与一位友方英雄共鸣，使他的魔法暴击几率提高%bonus_magical_crit_chance%%%，持续%duration%秒。每当这名友方英雄暴击时，都会使你的智力和魔法暴击几率提高%bonus_intellect_pct%%%，持续%caster_duration%秒。<br>至多作用于1名友军。"
"DOTA_Tooltip_modifier_mage_spell_resonance"	"咒术共鸣"
"DOTA_Tooltip_modifier_mage_spell_resonance_Description"	"魔法暴击几率提高%dMODIFIER_PROPERTY_TOOLTIP%%%。"
"DOTA_Tooltip_modifier_mage_spell_resonance_caster"	"咒术共鸣"
"DOTA_Tooltip_modifier_mage_spell_resonance_caster_Description"	"魔法暴击几率提高%dMODIFIER_PROPERTY_TOOLTIP%%%，智力提高%dMODIFIER_PROPERTY_TOOLTIP2%%%。"

"DOTA_Tooltip_Talent_mage_kaya_array"    "慧光法阵"
"DOTA_Tooltip_ability_mage_kaya_array"	"慧光法阵"
"DOTA_Tooltip_ability_mage_kaya_array_Description_lv1"	"在脚下展开一个%radius%码大小的能量法阵，持续%duration%秒。当你站在法阵中时，使你造成的魔法伤害提高%bonus_magical_dmg_pct%%%。"
"DOTA_Tooltip_modifier_mage_kaya_array_effect"	"慧光法阵"
"DOTA_Tooltip_modifier_mage_kaya_array_effect_Description"	"造成的魔法伤害提高%dMODIFIER_PROPERTY_TOOLTIP%%%"

"DOTA_Tooltip_Talent_mage_flame_dancing"    "飞舞之焰"
"DOTA_Tooltip_Talent_mage_flame_dancing_Desc"    "火焰爆轰的最大充能层数提高%CustomAbilityCharges%层，充能时间%AbilityChargeRestoreTime%秒。"

"DOTA_Tooltip_Talent_mage_burning_arrows"    "燃烧之箭"
"DOTA_Tooltip_Talent_mage_burning_arrows_Desc"    "灼热之箭会将目标点燃，每%burning_arrows_dot_interval%秒对其造成%burning_arrows_sp_factor_ps%点魔法伤害，持续%burning_arrows_duration%秒；任何敌人被灼热之箭或液态火点燃时，都有%burning_arrows_explode_chance%%%几率爆炸，对%burning_arrows_explode_radius%码内的所有敌人造成%burning_arrows_sp_factor%点魔法伤害。"

"DOTA_Tooltip_Talent_mage_fire_land"    "烈焰之地"
"DOTA_Tooltip_Talent_mage_fire_land_Desc"    "光击阵会留下一片烈焰之地，每秒对范围内的敌人造成%fire_land_sp_factor%点魔法伤害，持续%fire_land_duration%秒。"

"DOTA_Tooltip_Talent_mage_flowing_blaze"    "炽焰流转"
"DOTA_Tooltip_Talent_mage_flowing_blaze_Desc"    "你的灼热之箭、神灭斩、火焰爆轰和龙破斩暴击时会使炽焰外衣的剩余冷却时间减少%flowing_blaze_cd_reduce%秒。"

"DOTA_Tooltip_Talent_mage_charge_blade"    "强蓄力斩"
"DOTA_Tooltip_Talent_mage_charge_blade_Desc"    "消耗炽魂效果有%charge_blade_chance%%%几率使你%charge_blade_duration%秒内的下一个非瞬发神灭斩伤害提高%charge_blade_bonus_dmg_pct%%%。"
"DOTA_Tooltip_modifier_mage_fiery_soul_charge_blade"	"强蓄力斩"
"DOTA_Tooltip_modifier_mage_fiery_soul_charge_blade_Description"	"下一个非瞬发神灭斩的伤害提高%dMODIFIER_PROPERTY_TOOLTIP%%%"



"DOTA_Tooltip_ability_mage_arcane_orb"	"奥术天球"
"DOTA_Tooltip_ability_mage_arcane_orb_Description"	"激活后，失去你的全部攻击力，攻击距离固定为%attack_range_override%，攻击间隔提升至%attack_time_override%，将你的攻击替换成高速的奥术法球，法球造成【%sp_factor%%%法术强度】点魔法伤害且具有克敌机先，每次攻击会消耗%mana_cost_pct%%%的最大魔法值，并使你获得%stack_per_time%层奥术至尊。\n奥术至尊：<br>每层使奥术天球的伤害提高%arcane_bonus_damage_pct%%%，消耗的魔法值提高%arcane_mana_cost_pct%%%，攻击间隔降低%arcane_bonus_attack_time%%%；最多叠加%max_stack%层。"

"DOTA_Tooltip_ability_mage_concussive_shot"	"震荡光弹"
"DOTA_Tooltip_ability_mage_concussive_shot_Description"	"主动：向视野内最近的%target_count%名敌人发射光弹，造成【%sp_factor%%%法术强度】点魔法伤害。同时消耗你的所有奥术至尊层数，每消耗一层：增加%arcane_bonus_target_count%个额外目标，使光弹的伤害增加%arcane_bonus_damage_pct%%%，并为你恢复%arcane_mana_get_pct%%%最大魔法值。\n被动：每次命中敌人的共鸣脉冲或奥术天球都会使你获得%stack_per_time%层奥术至尊，强化你的技能；最多叠加%max_stack%层。"
"DOTA_Tooltip_modifier_mage_concussive_shot"	"奥术至尊"
"DOTA_Tooltip_modifier_mage_concussive_shot_Description"	"使奥术天球的伤害提高%dMODIFIER_PROPERTY_TOOLTIP%%%，魔法消耗提高%dMODIFIER_PROPERTY_TOOLTIP%%%，攻击间隔减少%dMODIFIER_PROPERTY_TOOLTIP%%%；<br>使震荡光弹额外击中%dMODIFIER_PROPERTY_TOOLTIP%个目标，伤害提高%dMODIFIER_PROPERTY_TOOLTIP%%%，为你恢复%fMODIFIER_PROPERTY_TOOLTIP%%%最大魔法值"

"DOTA_Tooltip_ability_mage_resonant_pulse"	"共鸣脉冲"
"DOTA_Tooltip_ability_mage_resonant_pulse_Description"	"对周身释放一道脉冲，对%radius%范围内的敌人造成【%sp_factor%%%法术强度】点魔法伤害。<br>如果共鸣脉冲击中了至少一名敌人，使你增加%stack_per_time%层奥术至尊层数。"

"DOTA_Tooltip_ability_mage_arcane_bolt"	"奥法鹰隼"
"DOTA_Tooltip_ability_mage_arcane_bolt_Description"	"主动：持续施法-向目标连续发射%base_count%枚奥术鹰隼，每枚造成【%sp_factor%%%法术强度】点魔法伤害。\n被动：每消耗%energy_threshold%%%的最大魔法值，就有%energy_chance%%%几率使你获得%stack_per_time%层奥术。\n奥术：<br>使你的下一次共鸣脉冲或奥法鹰隼不消耗魔法值，并使奥法鹰隼的施法时间减少%energy_duration_reduce_pct%%%，同时增加%energy_bonus_count%枚鹰隼数量。最多叠加%max_stack%层。"
"DOTA_Tooltip_modifier_mage_arcane_bolt"	"奥术"
"DOTA_Tooltip_modifier_mage_arcane_bolt_Description"	"使你的下%dMODIFIER_PROPERTY_TOOLTIP%次共鸣脉冲或奥法鹰隼不消耗魔法值，同时强化奥法鹰隼"

"DOTA_Tooltip_ability_mage_ancient_seal"	"上古封印"
"DOTA_Tooltip_ability_mage_ancient_seal_Description"	"用上古符文标记一个目标，累积你对目标伤害的%save_pct%%%，持续%duration%秒；标记结束时会释放一道神智冲击波，对%radius%范围内的所有敌人造成已累积的伤害。施放时使你立即获得%stack_per_time%层奥术至尊。"
"DOTA_Tooltip_modifier_mage_ancient_seal"	"上古封印"
"DOTA_Tooltip_modifier_mage_ancient_seal_Description"	"已经累积%dMODIFIER_PROPERTY_TOOLTIP%点魔法伤害"

"DOTA_Tooltip_ability_mage_equilibrium"	"精华变迁"
"DOTA_Tooltip_ability_mage_equilibrium_Description"	"主动：持续施法-使你获得%bonus_mana_regen_pct%%%的魔法恢复增强，持续%duration%秒。\n被动：使你的最大魔法值提高【%max_mana_int_factor%%% x 智力】%%，并获得同等的魔法恢复增强。同时使奥术至尊的伤害提高效果增强【%arcane_buff_bonus_damage%%% x 智力】%%"
"DOTA_Tooltip_modifier_mage_equilibrium"	"精华变迁"
"DOTA_Tooltip_modifier_mage_equilibrium_Description"	"最大魔法值提升%fMODIFIER_PROPERTY_EXTRA_MANA_PERCENTAGE%%%，获得%fMODIFIER_PROPERTY_MP_REGEN_AMPLIFY_PERCENTAGE%%%的魔法恢复增强，奥术至尊的伤害提升效果增强%dMODIFIER_PROPERTY_TOOLTIP%%%"
